ID,Gender,DOB,10percentage,10board,12graduation,12percentage,12board,CollegeID,CollegeTier,Degree,Specialization,collegeGPA,CollegeCityID,CollegeCityTier,CollegeState,GraduationYear,English,Logical,Quant,Domain,ComputerProgramming,ElectronicsAndSemicon,ComputerScience,MechanicalEngg,ElectricalEngg,TelecomEngg,CivilEngg,conscientiousness,agreeableness,extraversion,nueroticism,openess_to_experience,High-Salary
203097,f,1990-02-19 00:00:00,84.3,"board ofsecondary education,ap",2007,95.8,"board of intermediate education,ap",1141,2,B.Tech/B.E.,computer engineering,78,1141,0,Andhra Pradesh,2011,515,585,525,0.6359787565,445,-1,-1,-1,-1,-1,-1,0.9737,0.8128,0.5269,1.3549,-0.4455,1
579905,m,1989-10-04 00:00:00,85.4,cbse,2007,85,cbse,5807,2,B.Tech/B.E.,electronics and communication engineering,70.06,5807,0,Madhya Pradesh,2012,695,610,780,0.960603252,-1,466,-1,-1,-1,-1,-1,-0.7335,0.3789,1.2396,-0.1076,0.8637,1
810601,f,1992-08-03 00:00:00,85,cbse,2010,68.2,cbse,64,2,B.Tech/B.E.,information technology,70,64,0,Uttar Pradesh,2014,615,545,370,0.4508765845,395,-1,-1,-1,-1,-1,-1,0.2718,1.7109,0.1637,-0.8682,0.6721,1
267447,m,1989-12-05 00:00:00,85.6,cbse,2007,83.6,cbse,6920,1,B.Tech/B.E.,computer engineering,74.64,6920,1,Delhi,2011,635,585,625,0.9743961125,615,-1,-1,-1,-1,-1,-1,0.0464,0.3448,-0.344,-0.4078,-0.9194,1
343523,m,1991-02-27 00:00:00,78,cbse,2008,76.8,cbse,11368,2,B.Tech/B.E.,electronics and communication engineering,73.9,11368,0,Uttar Pradesh,2012,545,625,465,0.124502074,-1,233,-1,-1,-1,-1,-1,-0.881,-0.2793,-1.0697,0.09163,-0.1295,0
1027655,m,1992-07-02 00:00:00,89.92,state board,2010,87,state board,5086,2,B.Tech/B.E.,electronics and communication engineering,76.32,5086,0,Karnataka,2014,560,555,620,-1,645,-1,407,-1,-1,-1,-1,-0.3027,-0.6201,-2.2954,-0.7415,-0.8608,1
947847,m,1993-02-01 00:00:00,86.08,state board,2010,67.5,state board,314,2,B.Tech/B.E.,computer science & engineering,72.98,314,1,Karnataka,2014,590,435,380,0.3565364877,405,-1,346,-1,-1,-1,-1,1.7081,-0.1054,-1.0379,-2.0092,-1.0872,1
912934,m,1992-05-27 00:00:00,92,cbse,2010,91,cbse,1757,1,B.Tech/B.E.,mechanical engineering,8.58,1757,0,Tamil Nadu,2016,545,555,590,0.8295845998,-1,-1,-1,469,-1,-1,-1,-0.0154,1.2114,0.01,0.1459,1.247,1
552574,m,1991-09-17 00:00:00,90,cbse,2009,91.2,cbse,13,1,B.Tech/B.E.,electronics and electrical engineering,85.03,13,1,Delhi,2013,615,670,530,0.6944793277,735,366,-1,-1,-1,-1,-1,-0.159,0.5454,-0.6048,-0.7415,-0.2859,1
1203363,m,1993-06-13 00:00:00,77,cbse,2010,72.2,cbse,8640,2,B.Tech/B.E.,electronics and communication engineering,78,8640,1,West Bengal,2014,605,565,545,0.4935963873,385,324,-1,-1,-1,-1,-1,-1.308,0.5454,-0.9122,0.9066,0.0973,0
87291,m,1989-06-24 00:00:00,88.6,mp board bhopal,2006,83.7,mp board,403,2,B.Tech/B.E.,computer engineering,74.9,403,0,Madhya Pradesh,2010,565,455,565,0.7656735812,485,-1,-1,-1,-1,-1,-1,0.0464,0.8128,0.0914,0.1798,0.0284,1
190393,m,1990-02-10 00:00:00,81,cbse,2007,86,cbse,4441,1,B.Tech/B.E.,information technology,72.29,4441,0,Madhya Pradesh,2011,495,605,715,0.9682374959,605,-1,-1,-1,-1,-1,-1,-2.272,1.1248,0.8171,-0.4078,-0.4455,1
